TEXT;ES;EN
Elige un Pokémon.;Elige un Pokémon.;Choose a Pokémon.
Elige un Pokémon o cancela.;Elige un Pokémon o cancela.;Choose a Pokémon or cancel.
Usar;Usar;Use
Cancelar;Cancelar;Cancel
Has seleccionado {1}.;Has seleccionado {1}.;You have selected {1}.
¿Usar en qué Pokémon?;¿Usar en qué Pokémon?;Use on which Pokémon?
¿Restaurar qué movimiento?;¿Restaurar qué movimiento?;Restore which move?
Cambiar;Cambiar;Switch
Enviar al PC;Enviar al PC;Send to PC
Seleccionar;Seleccionar;Select
Datos;Datos;Summary
¿Qué hacer con {1}?;¿Qué hacer con {1}?;What to do with {1}?
Luchar;Luchar;Fight
Mochila;Mochila;Bag
Pokémon;Pokémon;Pokémon
Huir;Huir;Run
Llamar;Llamar;Call
Dinero;Dinero;Money
¿Qué debería hacer\n{1}?;¿Qué debería hacer\n{1}?;What should {1} do?
¿Qué Pokémon enviar al PC?;¿Qué Pokémon enviar al PC?;Which Pokémon to send to PC?
¿Mover a dónde?;¿Mover a dónde?;Move to where?
No tiene suficientes PS...;No tiene suficientes PS...;Not enough HP...
¡{1} no puede usar {2} en si mismo!;¡{1} no puede usar {2} en si mismo!;{1} cannot use {2} on itself!
¡{1} no puede ser usado en un huevo!;¡{1} no puede ser usado en un huevo!;{1} cannot be used on an Egg!
{1} no puede ser usado en ese Pokémon.;{1} no puede ser usado en ese Pokémon.;{1} cannot be used on that Pokémon.
Los PS de {1} fueron restaurados en {2} puntos.;Los PS de {1} fueron restaurados en {2} puntos.;{1}'s HP was restored by {2} points.
Objeto;Objeto;Item
Ninguno;Ninguno;None
♂;♂;♂
♀;♀;♀
{1} {2}, {3};{1} {2}, {3};{1} {2}, {3}
Un misterioso Huevo Pokémon recibido en {1}.;Un misterioso Huevo Pokémon recibido en {1}.;A mysterious Pokémon Egg received in {1}.
Un misterioso Huevo Pokémon.;Un misterioso Huevo Pokémon.;A mysterious Pokémon Egg.
Parece que va a tardar un buen rato en eclosionar.;Parece que va a tardar un buen rato en eclosionar.;It looks like this Egg will take a long time to hatch.
¿Qué eclosionará de esto? No parece estar cerca de eclosionar.;¿Qué eclosionará de esto? No parece estar cerca de eclosionar.;What will hatch from this? It doesn't seem close to hatching.
Parece moverse ocasionalmente. Puede estar cerca de eclosionar.;Parece moverse ocasionalmente. Puede estar cerca de eclosionar.;It appears to move occasionally. It may be close to hatching.
¡Se escuchan sonido desde dentro! ¡Eclosionará pronto!;¡Se escuchan sonido desde dentro! ¡Eclosionará pronto!;Sounds can be heard coming from inside! It will hatch soon!
Faltan {1} pasos para que el huevo eclosione.;Faltan {1} pasos para que el huevo eclosione.;{1} steps remaining until this Egg hatches.
Dar Objeto;Dar Objeto;Give Item
Quitar Objeto;Quitar Objeto;Take Item
Mote;Mote;Nickname
